Task ID,Task,Base (%),Spatial LoRA (%),Δ (pp)
0,pick up the black bowl from table center and place it on the plate,100.0,100.0,0.0
1,pick up the black bowl next to the cookie box and place it on the plate,33.333333333333336,66.66666666666667,33.333333333333336
2,pick up the black bowl next to the plate and place it on the plate,33.333333333333336,33.333333333333336,0.0
3,pick up the black bowl next to the ramekin and place it on the plate,66.66666666666667,33.333333333333336,-33.333333333333336
4,pick up the black bowl on the cookie box and place it on the plate,66.66666666666667,100.0,33.33333333333333
5,pick up the black bowl on the ramekin and place it on the plate,100.0,100.0,0.0
6,pick up the black bowl on the stove and place it on the plate,100.0,100.0,0.0
7,pick up the black bowl on the wooden cabinet and place it on the plate,33.333333333333336,100.0,66.66666666666666
8,pick up the black bowl in the top drawer of the wooden cabinet and place it on the plate,33.333333333333336,66.66666666666667,33.333333333333336
9,pick up the black bowl between the plate and the ramekin and place it on the plate,100.0,33.333333333333336,-66.66666666666666
Overall,LIBERO-Spatial,66.66666666666666,73.33333333333333,6.666666666666671
